SN,DATE,MinTemp,MaxTemp,AvgTemp,Sunrise,Sunset
1,01-01-14,33,46,40,657,1756
2,01-02-14,35,50,43,657,1756
3,01-03-14,36,45,41,657,1757
4,01-04-14,32,41,37,658,1757
5,01-05-14,24,38,31,658,1758
6,01-06-14,22,39,31,658,1759
7,01-07-14,28,45,37,658,1759
8,01-08-14,30,41,36,659,1800
9,01-09-14,29,42,36,659,1801
10,01-10-14,30,47,39,659,1801
11,01-11-14,32,47,40,659,1802
12,01-12-14,30,47,39,659,1803
13,1/13/2014,29,42,36,659,1803
14,1/14/2014,31,47,39,659,1804
15,1/15/2014,35,51,43,659,1804
16,1/16/2014,35,55,45,700,1805
17,1/17/2014,42,57,50,700,1806
18,1/18/2014,38,54,46,700,1806
19,1/19/2014,37,51,44,700,1807
20,1/20/2014,36,53,45,659,1808
21,1/21/2014,40,55,48,659,1808
22,1/22/2014,31,44,38,659,1809
23,1/23/2014,31,46,39,659,1810
24,1/24/2014,39,54,47,659,1810
25,1/25/2014,41,62,52,659,1811
26,1/26/2014,42,58,50,659,1811
27,1/27/2014,38,51,45,659,1812
28,1/28/2014,29,39,34,658,1813
29,1/29/2014,30,36,33,658,1813
30,1/30/2014,28,39,34,658,1814
31,1/31/2014,33,42,38,658,1814
32,02-01-14,35,50,43,657,1815
33,02-02-14,37,49,43,657,1816
34,02-03-14,36,50,43,657,1816
35,02-04-14,36,55,46,656,1817
36,02-05-14,38,53,46,656,1817
37,02-06-14,39,49,44,655,1818
38,02-07-14,39,52,46,655,1818
39,02-08-14,37,52,45,655,1819
40,02-09-14,34,57,46,654,1819
41,02-10-14,36,54,45,654,1820
42,02-11-14,34,52,43,653,1820
43,02-12-14,35,52,44,653,1821
44,2/13/2014,35,49,42,652,1821
45,2/14/2014,36,48,42,652,1822
46,2/15/2014,38,55,47,651,1822
47,2/16/2014,36,46,41,651,1823
48,2/17/2014,36,43,40,650,1823
49,2/18/2014,37,45,41,649,1823
50,2/19/2014,35,46,41,649,1824
51,2/20/2014,33,47,40,648,1824
52,2/21/2014,34,48,41,647,1825
53,2/22/2014,34,48,41,647,1825
54,2/23/2014,33,48,41,646,1825
55,2/24/2014,33,50,42,646,1826
56,2/25/2014,33,47,40,645,1826
57,2/26/2014,36,50,43,644,1827
58,2/27/2014,36,55,46,643,1827
59,2/28/2014,36,57,47,643,1827
60,03-01-14,41,55,48,642,1828
61,03-02-14,31,45,38,641,1828
62,03-03-14,31,42,37,640,1828
63,03-04-14,34,43,39,640,1829
64,03-05-14,33,46,40,639,1829
65,03-06-14,35,46,41,638,1829
66,03-07-14,34,54,44,637,1830
67,03-08-14,34,43,39,637,1830
68,03-09-14,36,47,42,636,1830
69,03-10-14,32,47,40,635,1831
70,03-11-14,31,49,40,634,1831
71,03-12-14,29,50,40,633,1831
72,3/13/2014,33,55,44,632,1832
73,3/14/2014,36,51,44,632,1832
74,3/15/2014,32,48,40,631,1832
75,3/16/2014,31,49,40,630,1832
76,3/17/2014,36,53,45,629,1833
77,3/18/2014,35,53,44,628,1833
78,3/19/2014,35,53,44,627,1833
79,3/20/2014,33,48,41,626,1833
80,3/21/2014,30,48,39,626,1834
81,3/22/2014,30,43,37,625,1834
82,3/23/2014,32,45,39,624,1834
83,3/24/2014,31,51,41,623,1834
84,3/25/2014,34,53,44,622,1835
85,3/26/2014,35,55,45,621,1835
86,3/27/2014,31,46,39,620,1835
87,3/28/2014,29,43,36,620,1835
88,3/29/2014,32,39,36,619,1836
89,3/30/2014,32,41,37,618,1836
90,3/31/2014,31,42,37,617,1836
91,04-01-14,34,45,40,616,1836
92,04-02-14,33,52,43,615,1837
93,04-03-14,36,51,44,614,1837
94,04-04-14,31,50,41,614,1837
95,04-05-14,31,51,41,613,1838
96,04-06-14,35,49,42,612,1838
97,04-07-14,35,49,42,611,1838
98,04-08-14,35,52,44,610,1838
99,04-09-14,36,53,45,610,1839
100,04-10-14,35,55,45,609,1839
101,04-11-14,37,56,47,608,1839
102,04-12-14,36,52,44,607,1839
103,4/13/2014,32,49,41,606,1840
104,4/14/2014,31,50,41,606,1840
105,4/15/2014,36,53,45,605,1840
106,4/16/2014,40,59,50,604,1841
107,4/17/2014,42,58,50,603,1841
108,4/18/2014,43,60,52,602,1841
109,4/19/2014,43,60,52,602,1841
110,4/20/2014,41,57,49,601,1842
111,4/21/2014,40,54,47,600,1842
112,4/22/2014,38,58,48,600,1842
113,4/23/2014,41,58,50,559,1843
114,4/24/2014,41,59,50,558,1843
115,4/25/2014,43,59,51,558,1843
116,4/26/2014,45,62,54,557,1844
117,4/27/2014,42,53,48,556,1844
118,4/28/2014,40,53,47,556,1844
119,4/29/2014,39,53,46,555,1845
120,4/30/2014,37,50,44,554,1845
121,05-01-14,36,53,45,554,1845
122,05-02-14,38,51,45,553,1846
123,05-03-14,36,55,46,553,1846
124,05-04-14,36,55,46,552,1846
125,05-05-14,40,54,47,552,1847
126,05-06-14,40,58,49,551,1847
127,05-07-14,42,60,51,550,1847
128,05-08-14,42,61,52,550,1848
129,05-09-14,44,59,52,550,1848
130,05-10-14,42,56,49,549,1849
131,05-11-14,40,56,48,549,1849
132,05-12-14,38,55,47,548,1849
133,5/13/2014,38,56,47,548,1850
134,5/14/2014,40,55,48,547,1850
135,5/15/2014,41,58,50,547,1851
136,5/16/2014,44,60,52,547,1851
137,5/17/2014,,,,546,1851
138,5/18/2014,43,60,52,546,1852
139,5/19/2014,44,60,52,546,1852
140,5/20/2014,44,62,53,545,1853
141,5/21/2014,47,62,55,545,1853
142,5/22/2014,44,59,52,545,1853
143,5/23/2014,41,58,50,545,1854
144,5/24/2014,39,57,48,544,1854
145,5/25/2014,38,52,45,544,1855
146,5/26/2014,36,47,42,544,1855
147,5/27/2014,35,49,42,544,1855
148,5/28/2014,35,51,43,544,1856
149,5/29/2014,34,53,44,543,1856
150,5/30/2014,36,55,46,543,1856
151,5/31/2014,35,51,43,543,1857
152,06-01-14,34,53,44,543,1857
153,06-02-14,36,48,42,543,1858
154,06-03-14,38,53,46,543,1858
155,06-04-14,37,53,45,543,1858
156,06-05-14,40,55,48,543,1859
157,06-06-14,35,52,44,543,1859
158,06-07-14,36,53,45,543,1859
159,06-08-14,42,54,48,543,1900
160,06-09-14,44,57,51,543,1900
161,06-10-14,43,60,52,543,1900
162,06-11-14,42,55,49,543,1901
163,06-12-14,37,53,45,543,1901
164,6/13/2014,35,57,46,543,1901
165,6/14/2014,37,62,50,544,1902
166,6/15/2014,42,60,51,544,1902
167,6/16/2014,41,58,50,544,1902
168,6/17/2014,37,52,45,544,1902
169,6/18/2014,36,51,44,544,1903
170,6/19/2014,40,57,49,544,1903
171,6/20/2014,39,52,46,545,1903
172,6/21/2014,35,48,42,545,1903
173,6/22/2014,37,53,45,545,1904
174,6/23/2014,41,60,51,545,1904
175,6/24/2014,42,60,51,545,1904
176,6/25/2014,45,62,54,546,1904
177,6/26/2014,48,64,56,546,1904
178,6/27/2014,47,60,54,546,1904
179,6/28/2014,47,59,53,546,1905
180,6/29/2014,45,61,53,547,1905
181,6/30/2014,43,61,52,547,1905
182,07-01-14,45,62,54,547,1905
183,07-02-14,47,61,54,548,1905
184,07-03-14,48,66,57,548,1905
185,07-04-14,47,65,56,548,1905
186,07-05-14,43,61,52,549,1905
187,07-06-14,40,58,49,549,1905
188,07-07-14,40,56,48,549,1905
189,07-08-14,44,55,50,550,1905
190,07-09-14,43,59,51,550,1905
191,07-10-14,43,62,53,550,1905
192,07-11-14,43,62,53,551,1905
193,07-12-14,42,61,52,551,1905
194,7/13/2014,40,56,48,551,1904
195,7/14/2014,41,51,46,552,1904
196,7/15/2014,38,55,47,552,1904
197,7/16/2014,39,52,46,553,1904
198,7/17/2014,39,59,49,553,1904
199,7/18/2014,37,59,48,553,1904
200,7/19/2014,41,56,49,554,1903
201,7/20/2014,41,51,46,554,1903
202,7/21/2014,42,58,50,554,1903
203,7/22/2014,43,52,48,555,1902
204,7/23/2014,44,61,53,555,1902
205,7/24/2014,45,62,54,556,1902
206,7/25/2014,44,64,54,556,1901
207,7/26/2014,42,57,50,556,1901
208,7/27/2014,38,54,46,557,1901
209,7/28/2014,35,58,47,557,1900
210,7/29/2014,34,53,44,557,1900
211,7/30/2014,38,56,47,558,1859
212,7/31/2014,39,55,47,558,1859
213,08-01-14,44,62,53,558,1859
214,08-02-14,42,60,51,559,1858
215,08-03-14,43,60,52,559,1858
216,08-04-14,44,64,54,559,1857
217,08-05-14,43,61,52,600,1857
218,08-06-14,40,60,50,600,1856
219,08-07-14,41,50,46,600,1855
220,08-08-14,41,52,47,601,1855
221,08-09-14,39,57,48,601,1854
222,08-10-14,38,53,46,601,1854
223,08-11-14,39,56,48,602,1853
224,08-12-14,40,58,49,602,1852
225,8/13/2014,41,62,52,602,1852
226,8/14/2014,44,63,54,603,1851
227,8/15/2014,45,63,54,603,1850
228,8/16/2014,42,62,52,603,1850
229,8/17/2014,39,58,49,603,1849
230,8/18/2014,38,57,48,604,1848
231,8/19/2014,36,55,46,604,1848
232,8/20/2014,38,54,46,604,1847
233,8/21/2014,40,56,48,604,1846
234,8/22/2014,39,57,48,605,1845
235,8/23/2014,43,60,52,605,1845
236,8/24/2014,42,59,51,605,1844
237,8/25/2014,41,60,51,605,1843
238,8/26/2014,41,56,49,606,1842
